,Open,Date,High,Low,Close,Volume
314,285.8800049,8/20/2013 0:00,285.7399902,289.5100098,287.0899963,1586300
315,285.0899963,8/21/2013 0:00,283.8299866,288.5,284.5700073,1815300
316,284.7999878,8/22/2013 0:00,284.7999878,289.8699951,289.730011,1422600
317,291.2099915,8/23/2013 0:00,287.8999939,291.5,290.0100098,1961900
318,290.4299927,8/26/2013 0:00,285.6199951,291.0499878,286.2099915,1711700
319,283.8699951,8/27/2013 0:00,279.7399902,285.2799988,280.9299927,2476000
320,280.3599854,8/28/2013 0:00,279.3299866,283,281.5799866,1457100
321,281.4500122,8/29/2013 0:00,280,285.980011,283.980011,1566400
322,284.5899963,8/30/2013 0:00,280,284.8699951,280.980011,1534700
323,284.730011,9/3/2013 0:00,284.1700134,291.3900146,288.7999878,2897600
324,288.3299866,9/4/2013 0:00,287.5799866,295.230011,293.6400146,2438600
325,293.6300049,9/5/2013 0:00,292.7099915,297,294.1000061,1816600
326,295.3299866,9/6/2013 0:00,290.7999878,298.8800049,295.8599854,2292000
327,297.2200012,9/9/2013 0:00,296.6000061,299.9599915,299.7099915,1643600
328,300.5499878,9/10/2013 0:00,297.2200012,301,300.3599854,1778400
329,298.9100037,9/11/2013 0:00,297.8399963,301.8599854,299.6400146,1742600
330,299.3900146,9/12/2013 0:00,297.6600037,302,298.8599854,1606200
331,300.1400146,9/13/2013 0:00,296.2000122,300.2200012,297.9200134,1350600
332,299.8200073,9/16/2013 0:00,295.2600098,301,296.0599976,1808400
333,297.6300049,9/17/2013 0:00,296.0100098,304.6499939,304.1700134,2296500
334,304.0599976,9/18/2013 0:00,302.9100037,312.7399902,312.0299988,2946400
335,313.769989,9/19/2013 0:00,311.0400085,314.5400085,312.0599976,2350900
336,312.5400085,9/20/2013 0:00,312.4100037,320.5700073,316.3399963,5302300
337,314.0100098,9/23/2013 0:00,308.769989,315.8999939,311.4899902,1884900
338,312.4299927,9/24/2013 0:00,311.2799988,318.0799866,314.1300049,2033600
339,314.5299988,9/25/2013 0:00,310.75,316.7099915,312.6499939,2008600
340,313.8999939,9/26/2013 0:00,313.2600098,319.3699951,318.1199951,1989900
341,316.9200134,9/27/2013 0:00,313.3500061,317.2099915,316.0100098,1657500
342,313.4100037,9/30/2013 0:00,311.0599976,315.3099976,312.6400146,1623600
343,314.2200012,10/1/2013 0:00,313.6499939,321,320.9500122,2396400
344,318.0400085,10/2/2013 0:00,317.519989,321.730011,320.5100098,2217400
345,320.3900146,10/3/2013 0:00,313.019989,322.9200134,314.7600098,2674800
346,315.1300049,10/4/2013 0:00,312.6199951,319.2000122,319.0400085,1815000
347,315.2399902,10/7/2013 0:00,309.7399902,315.3399963,310.0299988,2083200
348,311.5,10/8/2013 0:00,300.269989,311.5499878,303.230011,3166200
349,303.4200134,10/9/2013 0:00,296.5,303.5,298.230011,3247400
350,304.6300049,10/10/2013 0:00,302.5899963,306.7000122,305.1700134,2555100
351,304.769989,10/11/2013 0:00,303.8399963,310.9299927,310.8900146,2163100
352,309.2200012,10/14/2013 0:00,307,311.6499939,310.7000122,1939100
353,309.8699951,10/15/2013 0:00,305.2600098,310.7900085,306.3999939,2261100
354,308.3800049,10/16/2013 0:00,305.5499878,310.7999878,310.4899902,2170700
355,307.0700073,10/17/2013 0:00,305.2399902,311,310.769989,2648400
356,319.3599854,10/18/2013 0:00,316.75,331.8900146,328.9299927,5969800
357,329.8900146,10/21/2013 0:00,323.7999878,330,326.4400024,2522300
